"shift_id","employee_id","created_at"
196725,100008022,"2020-10-21 06:50:00"
196728,100008022,"2022-03-28 03:42:00"
293369,100028547,"2022-04-21 22:45:00"
293368,100028547,"2022-07-11 22:06:00"
225962,100031799,"2020-01-21 21:11:00"
225958,100031799,"2024-11-02 22:48:00"
126903,100061360,"2020-09-08 07:21:00"
289311,100070769,"2022-03-12 05:32:00"
200443,100095991,"2023-11-13 20:51:00"
200444,100095991,"2024-12-19 10:19:00"
44670,100112804,"2021-03-13 01:12:00"
261967,100147380,"2021-01-20 09:00:00"
43982,100164773,"2023-08-03 01:13:00"
43983,100164773,"2023-11-07 18:20:00"
68036,100176509,"2020-03-03 20:04:00"
87347,100187926,"2023-03-19 03:30:00"
154059,100195902,"2022-09-28 14:58:00"
154055,100195902,"2022-11-11 17:18:00"
212637,100238722,"2021-06-26 18:23:00"
212636,100238722,"2024-01-26 19:30:00"
231371,100294203,"2024-05-08 15:11:00"
23120,100301618,"2023-07-25 23:06:00"
255465,100310060,"2021-10-15 20:39:00"
96962,100390680,"2022-01-27 05:07:00"
96963,100390680,"2024-08-30 22:42:00"
89371,100407874,"2020-07-23 11:47:00"
89373,100407874,"2025-04-22 12:46:00"
296335,100467520,"2023-03-11 07:39:00"
296331,100467520,"2026-07-21 10:33:00"
220973,100525821,"2021-05-16 01:19:00"
115011,100539898,"2021-02-11 19:40:00"
69273,100541130,"2020-10-28 13:52:00"
226537,100566593,"2022-12-07 12:30:00"
226534,100566593,"2023-08-14 18:03:00"
82297,100594701,"2024-02-17 14:40:00"
25025,100603616,"2021-02-18 13:49:00"
276420,100709903,"2022-03-29 02:08:00"
293440,100713201,"2024-05-30 07:37:00"
293444,100713201,"2026-10-31 04:51:00"
129052,100730968,"2023-10-26 17:32:00"
230668,100741594,"2020-03-16 10:20:00"
134240,100746007,"2020-01-10 12:58:00"
134242,100746007,"2021-01-30 12:16:00"
252819,100746882,"2021-09-12 11:08:00"
252821,100746882,"2025-12-16 18:16:00"
26345,100780011,"2022-03-19 00:26:00"
142442,100840871,"2020-07-09 02:34:00"
142441,100840871,"2023-05-24 15:43:00"
200768,100842184,"2021-03-15 03:25:00"
64041,100991166,"2024-08-22 12:41:00"
64407,100998832,"2022-03-07 17:28:00"
64404,100998832,"2022-06-20 01:19:00"
18963,101029325,"2020-11-22 16:28:00"
215570,101043729,"2021-10-23 05:47:00"
215568,101043729,"2023-03-17 22:13:00"
288323,101085741,"2021-01-30 06:30:00"
288322,101085741,"2022-11-16 04:56:00"
59806,101127771,"2024-01-17 05:37:00"
6006,101128434,"2021-05-28 06:57:00"
6007,101128434,"2024-05-26 05:57:00"
123391,101149165,"2022-03-28 05:38:00"
49365,101165167,"2021-06-16 16:59:00"
49362,101165167,"2024-08-11 07:29:00"
137331,101183536,"2020-01-04 19:30:00"
137335,101183536,"2022-12-26 19:39:00"
52628,101187223,"2020-05-01 07:11:00"
52630,101187223,"2026-09-22 17:57:00"
130079,101189231,"2020-01-09 16:21:00"
236152,101204872,"2021-01-01 14:38:00"
76184,101220990,"2021-04-25 16:25:00"
76185,101220990,"2023-10-19 14:25:00"
265373,101275582,"2020-08-09 06:55:00"
265375,101275582,"2024-02-11 16:16:00"
209852,101351396,"2021-05-15 18:41:00"
209849,101351396,"2022-09-04 10:20:00"
19648,101356495,"2024-05-02 18:41:00"
203858,101390634,"2023-02-18 01:05:00"
203860,101390634,"2026-01-07 22:10:00"
4319,101416503,"2021-04-30 22:17:00"
4318,101416503,"2024-12-02 20:45:00"
47227,101454362,"2021-07-30 08:51:00"
132871,101508007,"2020-10-05 12:15:00"
191283,101519870,"2024-01-02 05:57:00"
249351,101559817,"2020-05-02 03:05:00"
249350,101559817,"2020-05-13 08:30:00"
251270,101566434,"2021-10-01 20:46:00"
251266,101566434,"2021-10-04 00:49:00"
93837,101588324,"2020-07-31 03:32:00"
93836,101588324,"2022-10-28 00:09:00"
258058,101616996,"2020-05-27 23:07:00"
258062,101616996,"2021-08-27 15:16:00"
224819,101626982,"2020-03-17 23:59:00"
124045,101631775,"2020-05-05 06:08:00"
195665,101635253,"2021-07-19 03:38:00"
195668,101635253,"2025-09-22 01:49:00"
54229,101636551,"2021-04-17 10:16:00"
25458,101660730,"2022-12-30 03:33:00"
136131,101694303,"2020-11-21 03:56:00"
136132,101694303,"2021-11-15 04:53:00"
152895,101716336,"2023-08-22 09:29:00"
145523,101794017,"2021-01-27 20:10:00"
145519,101794017,"2021-07-20 21:05:00"
77922,101808764,"2020-09-04 12:10:00"
77923,101808764,"2023-07-30 00:03:00"
261929,101859350,"2020-12-12 19:28:00"
154000,101867091,"2020-08-28 19:47:00"
154001,101867091,"2021-12-10 11:38:00"
198323,101874037,"2022-07-06 16:12:00"
280680,101885869,"2020-10-25 22:06:00"
280682,101885869,"2024-12-09 09:31:00"
115151,101932194,"2020-08-03 06:24:00"
115152,101932194,"2022-04-23 00:11:00"
85033,101967322,"2021-03-18 08:41:00"
186609,101982356,"2021-05-04 14:41:00"
186610,101982356,"2022-11-22 22:50:00"
17977,101993788,"2020-05-11 14:15:00"
191492,102033948,"2024-07-10 19:41:00"
191494,102033948,"2025-01-12 05:45:00"
107588,102072940,"2020-03-22 19:29:00"
107585,102072940,"2020-08-21 07:13:00"
57959,102103130,"2023-08-06 23:26:00"
187088,102148997,"2020-11-24 07:43:00"
187086,102148997,"2023-10-06 16:52:00"
142253,102193964,"2024-09-24 21:55:00"
253983,102195076,"2021-05-04 09:11:00"
175410,102198228,"2024-10-02 15:34:00"
76777,102228155,"2021-03-22 22:37:00"
57982,102336376,"2025-11-29 08:57:00"
57979,102336376,"2027-02-13 02:55:00"
269137,102340741,"2021-10-18 05:00:00"
269138,102340741,"2023-11-26 05:56:00"
210816,102356161,"2020-06-23 18:21:00"
202680,102364292,"2020-12-17 03:16:00"
293978,102377104,"2023-03-16 17:35:00"
149540,102388858,"2022-04-30 19:42:00"
135561,102399064,"2020-04-20 13:10:00"
135558,102399064,"2020-12-29 19:03:00"
202148,102402281,"2024-02-19 16:18:00"
23988,102440217,"2024-01-29 23:42:00"
97243,102440474,"2021-03-06 19:58:00"
130700,102463000,"2020-09-23 08:00:00"
163798,102483853,"2022-10-06 04:10:00"
163797,102483853,"2023-05-05 15:58:00"
66996,102493063,"2020-11-06 03:03:00"
82795,102505011,"2023-03-09 16:32:00"
82792,102505011,"2023-05-17 15:29:00"
181279,102511601,"2020-05-23 08:58:00"
181280,102511601,"2020-10-30 02:03:00"
53259,102512441,"2020-09-27 22:45:00"
130534,102516422,"2020-05-22 13:47:00"
123577,102549614,"2021-09-17 21:59:00"
102584,102559203,"2020-12-18 14:07:00"
102581,102559203,"2020-12-19 19:34:00"
174676,102563202,"2021-11-03 14:11:00"
174680,102563202,"2023-05-21 11:20:00"
185262,102603650,"2020-09-05 02:49:00"
212639,102629909,"2022-02-11 20:48:00"
149584,102656939,"2020-03-21 23:32:00"
149581,102656939,"2021-04-15 14:55:00"
246473,102719216,"2022-07-15 16:07:00"
246471,102719216,"2024-04-27 04:32:00"
284543,102785320,"2023-05-18 22:08:00"
284541,102785320,"2025-11-08 20:26:00"
184391,102793366,"2021-09-16 22:33:00"
184393,102793366,"2022-09-09 15:10:00"
220942,102849613,"2022-08-10 13:10:00"
220944,102849613,"2023-12-17 15:49:00"
11072,102910352,"2020-12-18 08:59:00"
11071,102910352,"2021-01-10 09:37:00"
257741,102936571,"2023-03-07 02:59:00"
80003,102965919,"2027-07-23 01:09:00"
218650,102973574,"2020-12-21 14:04:00"
218647,102973574,"2023-07-17 03:36:00"
174537,102990337,"2020-02-13 15:10:00"
278037,102991918,"2023-11-18 05:54:00"
140365,102995355,"2020-11-10 16:28:00"
140367,102995355,"2023-06-01 02:11:00"
216604,103000370,"2021-06-05 18:53:00"
216602,103000370,"2021-09-18 22:15:00"
215521,103007249,"2021-01-31 19:01:00"
197336,103047665,"2023-02-17 12:41:00"
177001,103053474,"2022-12-16 11:15:00"
